Tiempo (s),Voltaje Pico-Pico (V),Ajuste (V),Residuales (V)
15.5999994000,16.3999996000,16.3487683199,0.0512312801
15.6199999000,16.3999996000,16.3395778597,0.0604217403
15.6399994000,16.3999996000,16.3325161137,0.0674834863
15.6599998000,16.3999996000,16.3276282579,0.0723713421
15.6799994000,16.3999996000,16.3249344966,0.0750651034
15.6999998000,16.2000008000,16.3244285144,-0.1244277144
15.7199993000,16.2000008000,16.3260788788,-0.1260780788
15.7399998000,16.6000004000,16.3298297395,0.2701706605
15.7599993000,16.3999996000,16.3356012124,0.0643983876
15.7799997000,16.3999996000,16.3432921533,0.0567074467
15.7999992000,16.2000008000,16.3527795977,-0.1527787977
15.8199997000,16.3999996000,16.3639233523,0.0360762477
15.8399992000,16.3999996000,16.3765643412,0.0234352588
15.8599997000,16.2000008000,16.3905311191,-0.1905303191
15.8800001000,16.2000008000,16.4056378198,-0.2056370198
15.8999996000,16.3999996000,16.4216884720,-0.0216888720
15.9200001000,16.6000004000,16.4384816546,0.1615187454
15.9399996000,16.6000004000,16.4558075804,0.1441928196
15.9600000000,16.6000004000,16.4734571135,0.1265432865
15.9799995000,16.6000004000,16.4912177414,0.1087826586
16.0000000000,16.6000004000,16.5088825124,0.0911178876
16.0200005000,16.6000004000,16.5262465783,0.0737538217
16.0399990000,16.6000004000,16.5431113049,0.0568890951
16.0599995000,16.6000004000,16.5592922571,0.0407081429
16.0799999000,16.6000004000,16.5746110073,0.0253893927
16.1000004000,16.8000011000,16.5889041206,0.2110969794
16.1199989000,16.6000004000,16.6020214129,-0.0020210129
16.1399994000,16.6000004000,16.6138328741,-0.0138324741
16.1599998000,16.6000004000,16.6242219174,-0.0242215174
16.1800003000,16.8000011000,16.6330920036,0.1669090964
16.1999989000,16.6000004000,16.6403651508,-0.0403647508
16.2199993000,16.6000004000,16.6459853084,-0.0459849084
16.2399998000,16.8000011000,16.6499145797,0.1500865203
16.2600002000,16.8000011000,16.6521360568,0.1478650432
16.2799988000,16.6000004000,16.6526530907,-0.0526526907
16.2999992000,16.6000004000,16.6514888522,-0.0514884522
16.3199997000,16.6000004000,16.6486854558,-0.0486850558
16.3400002000,16.6000004000,16.6443035169,-0.0443031169
16.3599987000,16.8000011000,16.6384216488,0.1615794512
16.3799992000,16.6000004000,16.6311327548,-0.0311323548
16.3999996000,16.6000004000,16.6225462477,-0.0225458477
16.4200001000,16.8000011000,16.6127841392,0.1872169608
16.4400005000,16.6000004000,16.6019802224,-0.0019798224
16.4599991000,16.6000004000,16.5902790796,0.0097213204
16.4799995000,16.6000004000,16.5778301377,0.0221702623
16.5000000000,16.6000004000,16.5647919946,0.0352084054
16.5200005000,16.6000004000,16.5513265284,0.0486738716
16.5399990000,16.6000004000,16.5375991489,0.0624012511
16.5599995000,16.6000004000,16.5237713901,0.0762290099
16.5799999000,16.3999996000,16.5100073243,-0.1100077243
16.6000004000,16.6000004000,16.4964659374,0.1035344626
16.6199989000,16.3999996000,16.4833024061,-0.0833028061
16.6399994000,16.6000004000,16.4706608917,0.1293395083
16.6599998000,16.3999996000,16.4586809989,-0.0586813989
16.6800003000,16.3999996000,16.4474907564,-0.0474911564
16.6999989000,16.3999996000,16.4372079256,-0.0372083256
16.7199993000,16.3999996000,16.4279348135,-0.0279352135
16.7399998000,16.3999996000,16.4197630311,-0.0197634311
16.7600002000,16.3999996000,16.4127689739,-0.0127693739
16.7799988000,16.3999996000,16.4070143619,-0.0070147619
16.7999992000,16.6000004000,16.4025439918,0.1974564082
16.8199997000,16.6000004000,16.3993885248,0.2006118752
16.8400002000,16.3999996000,16.3975622671,0.0024373329
16.8599987000,16.6000004000,16.3970637678,0.2029366322
16.8799992000,16.6000004000,16.3978760643,0.2021243357
16.8999996000,16.3999996000,16.3999674245,0.0000321755
16.9200001000,16.6000004000,16.4032916907,0.1967087093
16.9400005000,16.6000004000,16.4077890890,0.1922113110
16.9599991000,16.6000004000,16.4133867068,0.1866136932
16.9799995000,16.3999996000,16.4200016061,-0.0200020061
17.0000000000,16.3999996000,16.4275390179,-0.0275394179
17.0200005000,16.6000004000,16.4358954299,0.1641049701
17.0399990000,16.6000004000,16.4449586563,0.1550417437
17.0599995000,16.6000004000,16.4546129333,0.1453874667
17.0799999000,16.3999996000,16.4647348883,-0.0647352883
17.1000004000,16.6000004000,16.4751988208,0.1248015792
17.1199989000,16.6000004000,16.4858759727,0.1141244273
17.1399994000,16.6000004000,16.4966405407,0.1033598593
17.1599998000,16.6000004000,16.5073646415,0.0926357585
17.1800003000,16.6000004000,16.5179242469,0.0820761531
17.1999989000,16.6000004000,16.5281982427,0.0718021573
17.2199993000,16.8000011000,16.5380738038,0.2619272962
17.2399998000,16.6000004000,16.5474419068,0.0525584932
17.2600002000,16.6000004000,16.5562020814,0.0437983186
17.2799988000,16.8000011000,16.5642620968,0.2357390032
17.2999992000,16.6000004000,16.5715415276,0.0284588724
17.3199997000,16.6000004000,16.5779682547,0.0220321453
17.3400002000,16.6000004000,16.5834819922,0.0165184078
17.3599987000,16.6000004000,16.5880337423,0.0119666577
17.3799992000,16.6000004000,16.5915878482,0.0084125518
17.3999996000,16.6000004000,16.5941194670,0.0058809330
17.4200001000,16.6000004000,16.5956166122,0.0043837878
17.4400005000,16.6000004000,16.5960795030,0.0039208970
17.4599991000,16.6000004000,16.5955205134,0.0044798866
17.4799995000,16.6000004000,16.5939634949,0.0060369051
17.5000000000,16.6000004000,16.5914435982,0.0085568018
17.5200005000,16.8000011000,16.5880065972,0.2119945028
17.5399990000,16.6000004000,16.5837086250,0.0162917750
17.5599995000,16.6000004000,16.5786135549,0.0213868451
17.5799999000,16.6000004000,16.5727947119,0.0272056881
17.6000004000,16.3999996000,16.5663321238,-0.1663325238
17.6199989000,16.6000004000,16.5593127570,0.0406876430
17.6399994000,16.6000004000,16.5518264288,0.0481739712
17.6599998000,16.8000011000,16.5439689539,0.2560321461
17.6800003000,16.6000004000,16.5358380492,0.0641623508
17.6999989000,16.6000004000,16.5275338558,0.0724665442
17.7199993000,16.6000004000,16.5191544692,0.0808459308
17.7399998000,16.6000004000,16.5107993925,0.0892010075
17.7600002000,16.6000004000,16.5025655432,0.0974348568
17.7799988000,16.6000004000,16.4945473584,0.1054530416
17.7999992000,16.6000004000,16.4868330550,0.1131673450
17.8199997000,16.6000004000,16.4795079214,0.1204924786
17.8400002000,16.3999996000,16.4726506148,-0.0726510148
17.8599987000,16.3999996000,16.4663335682,-0.0663339682
17.8799992000,16.3999996000,16.4606198358,-0.0606202358
17.8999996000,16.2000008000,16.4555662962,-0.2555654962
17.9200001000,16.6000004000,16.4512204504,0.1487799496
17.9400005000,16.3999996000,16.4476208438,-0.0476212438
17.9599991000,16.3999996000,16.4447968303,-0.0447972303
17.9799995000,16.3999996000,16.4427675364,-0.0427679364
18.0000000000,16.3999996000,16.4415432956,-0.0415436956
